,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi,opened_at
0,closed,0.0675,3492.0,-0.08390844545951046,1662486480000.0,1662696000000,18867.5,20141.0,1662517440000.0,18451.0,2022-08-01 00:00:00,buy,1h,-4,2022-09-06 17:48:00
1,closed,0.0327,19002.0,-0.11295401552847287,1661555880000.0,1662696000000,20141.0,20800.5,1662517440000.0,18451.0,2022-08-01 00:00:00,buy,1h,-3,2022-08-26 23:18:00
2,closed,0.0263,247.0,-0.027778428387398992,1660953180000.0,1660968000000,20800.5,21347.5,1660953300000.0,20754.5,2022-08-01 00:00:00,buy,15m,-4,2022-08-19 23:53:00
3,closed,0.0478,34162.0,-0.1751346759952612,1660891080000.0,1662940800000,21347.5,22368.5,1662517440000.0,18451.0,2022-08-01 00:00:00,buy,15m,-3,2022-08-19 06:38:00
4,closed,0.0382,587.0,-0.03763348260420255,1659636780000.0,1659672000000,22368.5,23224.0,1659636780000.0,22350.0,2022-08-01 00:00:00,buy,15m,-2,2022-08-04 18:13:00
5,closed,0.0061,94.0,-0.010999358014123689,1659335160000.0,1659340800000,23224.0,23365.0,1659338160000.0,23108.0,2022-08-01 00:00:00,buy,1m,-4,2022-08-01 06:26:00
6,closed,0.006,210.0,-0.009882018601446779,1659313800000.0,1659326400000,23365.0,23224.0,1659319320000.0,23453.5,2022-08-01 00:00:00,sell,1m,-3,2022-08-01 00:30:00
7,closed,0.006,15.0,-0.012411726942007276,1659528900000.0,1659529800000,23506.0,23365.0,1659528900000.0,23655.0,2022-08-01 00:00:00,sell,1m,-2,2022-08-03 12:15:00
8,closed,0.0078,1530.0,-0.031077171785926998,1659940200000.0,1660032000000,23690.0,23506.0,1659960540000.0,24236.5,2022-08-01 00:00:00,sell,1m,2,2022-08-08 06:30:00
9,closed,0.0116,691.0,-0.02306880540312368,1659947340000.0,1659988800000,23967.0,23690.0,1659960540000.0,24236.5,2022-08-01 00:00:00,sell,1m,3,2022-08-08 08:29:00
10,closed,0.0089,175.0,-0.011244628030208204,1659960300000.0,1659970800000,24182.5,23967.0,1659960540000.0,24236.5,2022-08-01 00:00:00,sell,1m,4,2022-08-08 12:05:00
11,closed,0.0038,35.0,-0.012302284710017574,1660181100000.0,1660183200000,24275.0,24182.5,1660182660000.0,24480.0,2022-08-01 00:00:00,sell,15m,3,2022-08-11 01:25:00
12,closed,0.017,268.0,-0.01909371781668383,1660203120000.0,1660219200000,24695.0,24275.0,1660203120000.0,24738.5,2022-08-01 00:00:00,sell,15m,4,2022-08-11 07:32:00
13,closed,0.0675,3492.0,-0.08390844545951046,1662486480000.0,1662696000000,18867.5,20141.0,1662517440000.0,18451.0,2022-08-03 00:00:00,buy,1h,-4,2022-09-06 17:48:00
