,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
119,closed,0.0043,35.0,-0.004810192407696308,1659878700000.0,1659880800000,23176.0,23076.0,1659878700000.0,23187.0,2022-08-07 00:00:00,sell,1m,2
121,closed,0.0014,1.0,-0.002755710564274796,1659892380000.0,1659892440000,23257.5,23224.5,1659892380000.0,23288.5,2022-08-07 00:00:00,sell,1m,4
120,closed,0.0021,47.0,-0.0048541594753192955,1659892380000.0,1659895200000,23224.5,23176.0,1659892380000.0,23288.5,2022-08-07 00:00:00,sell,1m,3
122,closed,0.0017,57.0,-0.00563259163710631,1659906180000.0,1659909600000,23297.5,23257.5,1659906420000.0,23388.5,2022-08-07 00:00:00,sell,15m,2
140,closed,0.003,8.0,-0.0033157498116051245,1659916920000.0,1659917400000,23154.0,23222.5,1659916920000.0,23145.5,2022-08-08 00:00:00,buy,1m,-2
141,closed,0.0029,2150.0,-0.04675218104863091,1659917400000.0,1660046400000,23222.5,23154.0,1659960540000.0,24236.5,2022-08-08 00:00:00,sell,1m,2
142,closed,0.0037,14.0,-0.004650662073420174,1659917760000.0,1659918600000,23309.0,23222.5,1659917820000.0,23330.5,2022-08-08 00:00:00,sell,1m,3
143,closed,0.0034,1589.0,-0.03979149684671157,1659936660000.0,1660032000000,23388.5,23309.0,1659960540000.0,24236.5,2022-08-08 00:00:00,sell,1m,4
144,closed,0.0016,1.0,-0.0016888641853902559,1659936660000.0,1659936720000,23427.0,23388.5,1659936660000.0,23428.0,2022-08-08 00:00:00,sell,15m,3
123,closed,0.0056,1574.0,-0.04030475372894087,1659937560000.0,1660032000000,23429.5,23297.5,1659960540000.0,24236.5,2022-08-07 00:00:00,sell,15m,3
62,closed,0.0083,1555.0,-0.03676690764426573,1659938700000.0,1660032000000,23572.0,23377.0,1659960540000.0,24236.5,2022-08-04 00:00:00,sell,1m,4
9,closed,0.0078,1530.0,-0.031077171785926998,1659940200000.0,1660032000000,23690.0,23506.0,1659960540000.0,24236.5,2022-08-01 00:00:00,sell,1m,2
102,closed,0.0138,1530.0,-0.03890008144369669,1659940200000.0,1660032000000,23655.0,23329.0,1659960540000.0,24236.5,2022-08-06 00:00:00,sell,15m,3
81,closed,0.026,1770.0,-0.051885768846838244,1659940200000.0,1660046400000,23655.0,23041.0,1659960540000.0,24236.5,2022-08-05 00:00:00,sell,15m,2
145,closed,0.0096,1530.0,-0.03455414692448884,1659940200000.0,1660032000000,23655.0,23427.0,1659960540000.0,24236.5,2022-08-08 00:00:00,sell,15m,4
63,closed,0.0035,1530.0,-0.02819022569149839,1659940200000.0,1660032000000,23655.0,23572.0,1659960540000.0,24236.5,2022-08-04 00:00:00,sell,15m,2
125,closed,0.0003,9.0,-0.004016064257028112,1659940200000.0,1659940740000,23662.5,23655.0,1659940260000.0,23750.0,2022-08-07 00:00:00,sell,1h,3
124,closed,0.0095,1530.0,-0.03444375680232186,1659940200000.0,1660032000000,23655.0,23429.5,1659960540000.0,24236.5,2022-08-07 00:00:00,sell,15m,4
103,closed,0.013,931.0,-0.024582540689072077,1659947340000.0,1660003200000,23967.0,23655.0,1659960540000.0,24236.5,2022-08-06 00:00:00,sell,15m,4
10,closed,0.0116,691.0,-0.02306880540312368,1659947340000.0,1659988800000,23967.0,23690.0,1659960540000.0,24236.5,2022-08-01 00:00:00,sell,1m,3
146,closed,0.0138,928.0,-0.024582540689072077,1659947520000.0,1660003200000,23986.0,23655.0,1659960540000.0,24236.5,2022-08-08 00:00:00,sell,1h,3
30,closed,0.0278,1394.0,-0.03579212786871234,1659948360000.0,1660032000000,24069.0,23399.0,1659960540000.0,24236.5,2022-08-02 00:00:00,sell,15m,2
11,closed,0.0089,175.0,-0.011244628030208204,1659960300000.0,1659970800000,24182.5,23967.0,1659960540000.0,24236.5,2022-08-01 00:00:00,sell,1m,4
82,closed,0.0218,715.0,-0.024582540689072077,1659960300000.0,1660003200000,24182.5,23655.0,1659960540000.0,24236.5,2022-08-05 00:00:00,sell,15m,3
161,closed,0.0028,4.0,-0.00423799932863377,1660003860000.0,1660004100000,23765.0,23832.0,1660003860000.0,23731.0,2022-08-09 00:00:00,buy,1m,-3
162,closed,0.0028,39.0,-0.004081632653061225,1660004460000.0,1660006800000,23832.0,23765.0,1660005240000.0,23862.0,2022-08-09 00:00:00,sell,1m,-2
160,closed,0.0038,5.0,-0.0059330948874395115,1660011000000.0,1660011300000,23675.5,23765.0,1660011300000.0,23624.0,2022-08-09 00:00:00,buy,1m,-4
159,closed,0.0017,1.0,-0.0021752444510147622,1660011300000.0,1660011360000,23635.0,23675.5,1660011300000.0,23624.0,2022-08-09 00:00:00,buy,15m,2
